MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,P O C L ENTERPRISES LTD.,       144.20,       143.05,       147.94,       141.00,       142.78,                  7422842.32,51934,N,XD,928,       168.97,       140.60
N,POKARNA LIMITED,       831.40,       832.20,       836.00,       811.00,       817.15,                 41163028.50,49926,N, ,2768,      1146.20,       692.60
N,PB FINTECH LIMITED,      1870.00,      1848.20,      1866.60,      1828.70,      1836.00,                820287272.10,445054,N, ,25654,      1974.00,      1364.00
N,POLYCAB INDIA LIMITED,      8807.50,      8500.00,      8500.00,      8250.00,      8300.00,              13025481530.00,1559741,N, ,162753,     10126.00,      6663.00
N,POLY MEDICURE LIMITED,      1768.70,      1760.00,      1774.90,      1690.10,      1702.50,                296233247.70,171700,N, ,20605,      2144.90,      1182.00
N,POLYPLEX CORPORATION LTD,      1202.70,      1207.90,      1207.90,      1178.10,      1191.00,                 86625522.00,72824,N, ,2725,      1264.00,       740.00
N,POLYSIL IRRIGATION SYST L,        67.05,        70.40,        70.40,        70.40,        70.40,                   492800.00,7000,N, ,4,       356.75,        47.25
N,POLYSPIN EXPORTS LTD.,        28.35,        28.00,        29.87,        28.00,        29.64,                    55976.43,1968,N, ,21,        34.79,        28.00
N,PONNIE SUGARS (ERODE) LTD,       398.65,       402.90,       402.90,       379.60,       382.45,                 12169613.70,31436,N, ,1966,       455.00,       252.40
N,POONAWALLA FINCORP LTD,       465.10,       466.55,       476.35,       464.00,       468.45,                335439808.45,713159,N, ,25459,       570.40,       361.20
N,POSITRON ENERGY LIMITED,       171.00,       171.50,       181.00,       171.00,       180.00,                  4127910.00,23400,N, ,71,       395.00,       105.90
N,POWERICA LIMITED,       512.95,       519.80,       534.00,       516.10,       525.05,                153900643.85,291923,N, ,8896,       676.95,       365.10
N,HITACHI ENERGY INDIA LTD,     32000.00,     32000.00,     32195.00,     31545.00,     31650.00,               2648166720.00,83443,N, ,30096,     38785.00,     16111.00
N,POWER MECH PROJECTS LTD.,      2399.80,      2399.90,      2416.00,      2270.10,      2306.10,                315522739.70,135843,N, ,18425,      3234.90,      1717.70
N,PIRAMAL PHARMA LIMITED,       214.49,       214.99,       217.00,       210.52,       214.22,                558289239.93,2618467,N, ,27466,       220.36,       132.30
N,PICTUREPOST STUDIOS LTD,         2.85,         2.80,         2.90,         2.80,         2.85,                   127050.00,45000,N, ,11,        16.15,         2.10
N,PRABHA ENERGY LIMITED,       220.97,       221.99,       258.40,       218.81,       230.60,               2898374986.87,11908766,N, ,138252,       258.40,       137.91
N,PRAJAY ENG. SYN. LTD.,        25.75,        25.49,        26.10,        24.36,        24.69,                  3901465.00,154995,N, ,492,        33.88,        17.00
N,PRAJ INDUSTRIES LTD,       341.60,       339.95,       343.35,       333.65,       335.55,                143229059.95,425298,N, ,10510,       433.00,       273.00
N,PRAKASH INDUSTRIES LTD,       123.66,       124.16,       126.79,       123.11,       125.63,                 37243388.33,297033,N, ,3287,       177.00,       110.24
N,PRAKASH STEELAGE LTD,         3.65,         3.65,         3.90,         3.65,         3.82,                   809051.87,213981,N, ,354,         6.57,         3.63
N,PRAMARA PROMOTIONS LTD,       103.25,       102.45,       104.85,       101.25,       102.25,                   666625.00,6500,N, ,11,       374.80,       101.10
N,PRAMODINI MEDICARE LTD,       115.25,       115.00,       116.95,       114.05,       114.80,                  5412660.00,46800,N, ,35,       125.95,       111.55
N,PRANIK LOGISTICS LIMITED,        39.90,        41.45,        47.85,        41.45,        47.85,                  2040880.00,43200,N, ,22,        86.90,        37.00
N,PRATHAM EPC PROJECTS LTD,       120.00,       119.00,       119.00,       119.00,       119.00,                   142800.00,1200,N, ,1,       196.00,       100.00
N,PRAVEG LTD.,       260.40,       263.00,       273.40,       261.00,       266.15,                  7582929.95,28429,N, ,1605,       325.00,       210.40
N,PRAXIS HOME RETAIL LTD,         4.43,         4.46,         4.65,         4.45,         4.65,                  1346001.15,292373,N, ,210,        14.44,         4.32
N,PRECISION CAMSHAFTS LTD.,       122.10,       122.65,       126.00,       122.47,       124.02,                 14710960.91,118929,N, ,2612,       262.00,       103.98
N,PRECOT LIMITED,       699.90,       700.90,       709.95,       677.15,       698.05,                  1612694.70,2308,N, ,147,       899.00,       300.05
N,PRECISION WIRES INDIA LTD,       487.85,       491.75,       501.85,       469.55,       472.80,                402085823.05,830119,N, ,28644,       524.90,       170.61
N,PREMCO GLOBAL LTD.,       385.55,       388.00,       392.00,       385.45,       390.95,                   792274.20,2051,N, ,39,       484.90,       355.00
N,PREMIER EXPLOSIVES LTD,       666.35,       665.00,       672.00,       663.00,       664.00,                203733077.50,305895,N, ,2677,       829.80,       378.40
N,PREMIER ENERGIES LIMITED,      1008.00,      1002.50,      1008.80,       996.00,      1002.00,               1046345313.50,1046394,N, ,23550,      1134.00,       660.00
N,PREMIER POLYFILM LTD,        92.35,        93.50,        98.80,        87.21,        95.36,                105573162.20,1113475,N, ,12281,        98.80,        38.00
N,PREMIUM PLAST LIMITED,        41.20,        41.25,        42.20,        38.00,        38.00,                   866850.00,21000,N, ,7,        46.00,        29.80
